Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Johnny O'Bryant,,0.3,0.3,0.1,-0.5
Anthony Bennett,8.1,0.5,0.3,0.1,-0.4
Trevor Wilson,-2.3,0.8,0.3,0.2,-0.5
Quincy Lewis,-3.7,0.3,0.3,0.1,0
Adrian Caldwell,-4.6,0.4,0.3,0.1,0
Mark Randall,-12.8,0.5,0.3,0.2,0
Alex Poythress,-15.8,0.5,0.3,0.1,NA
Henry James,-15.9,0.6,0.3,0.2,0.1
Donny Marshall,-21.0,0.6,0.2,0.2,-0.1
Roderick McDonald,-22.4,0.5,0.5,0.2,NA
Jamal Sampson,-24.0,0.5,0.4,0.2,0
