Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Johnny O'Bryant,,0.3,0.3,0.1,-0.5,NA,NA
Anthony Bennett,8.1,0.5,0.3,0.1,-0.4,NA,NA
Trevor Wilson,-2.3,0.8,0.3,0.2,-0.5,NA,NA
Quincy Lewis,-3.7,0.3,0.3,0.1,0,NA,NA
Mark Randall,-12.8,0.5,0.3,0.2,0,NA,NA
Alex Poythress,-15.8,0.5,0.3,0.1,NA,NA,NA
Adrian Caldwell,-16.8,0.4,0.3,0.2,0.1,0,0
Roderick McDonald,-22.4,0.5,0.5,0.2,NA,NA,NA
David Vaughn,-26.5,0.4,0.2,0.1,-0.1,NA,NA
Gene Guarilia,-28.0,0.7,0.5,0.3,-0.2,NA,NA
Gene James,-29.5,0.5,0.3,0.1,NA,NA,NA
