Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mike Conley,,10,9.9,8.2,8,6.8,6.6,6.4,5.3,4.5,4,1.1,0.6
Louie Dampier,95.1,10.1,9.5,8.5,8.1,7.4,7.2,6,5.4,5,4,1.6,1.2
Walter Davis,93.1,10.1,9.4,8.3,8.1,7.1,6.2,5.8,4.2,3.8,3.5,2.7,0.6
Derek Harper,93.1,9.9,9.4,9.1,8,7.6,6.4,6.2,5.4,4,3.5,2.7,1.3
Lenny Wilkens,90.9,10.1,9.6,9,8.1,7.6,7.6,5.7,5,4.9,4.9,4,0.4
Dick Van Arsdale,90.5,10.4,10.2,9,8.7,7,5.9,5.6,5.2,4,3.8,2.7,2.6
Joe Dumars,90.3,9.9,9.1,8.8,8.7,8.2,7,6,5.9,4.4,4.2,3.2,1.7
Dan Majerle,90.3,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.5
Mitch Richmond,90.0,10.8,9.3,8,7.9,7.1,6.4,5.6,5.2,5.2,4.9,3.3,3.1
Stephon Marbury,89.8,11.7,9.6,9.1,7.8,7.4,7.1,5.9,5.3,5.3,3.9,3.7,1.1
Jeff Mullins,89.6,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
