Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Kevin Loder,,1.5,0.9,0.1,NA,NA
Brian Rowsom,92.2,1.5,1,0,NA,NA
Chris McNealy,87.6,1.6,0.8,0.2,NA,NA
Adrian Branch,86.6,1.5,0.7,0,-0.1,NA
Dennis Wuycik,85.4,1.4,0.9,-0.1,NA,NA
Ron Riley,84.8,1.6,0.7,0.2,0,NA
Lou Tsioropoulos,84.8,1.4,0.7,0,NA,NA
Derrick Alston,79.5,1.7,1,-0.1,NA,NA
Chris Singleton,78.5,1.5,0.5,0.2,NA,NA
Bob McCann,78.1,1.3,0.6,0.1,0.1,0
James Wilkes,78.1,1.1,0.8,0.1,NA,NA
