Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
George Ratkovicz,,9.3,6,5.4,5.2,2.8,-0.1,NA,NA,NA,NA,NA,NA
Steve Stipanovich,90.7,9,6.9,5.9,5,3.6,NA,NA,NA,NA,NA,NA,NA
Stan Miasek,83.3,10.3,5.8,5.5,4.1,3.5,2.1,NA,NA,NA,NA,NA,NA
Darrall Imhoff,78.8,8.2,5.9,5,4.9,2.4,2.1,0.9,0.7,0.7,0,-0.2,-0.6
Gene Moore,78.7,6.8,5.7,5,4.5,1.9,0.8,0,NA,NA,NA,NA,NA
Elmore Smith,77.1,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,NA,NA,NA,NA
Tom Burleson,76.1,8.2,4.4,4.3,3.3,2.7,0.2,-0.1,NA,NA,NA,NA,NA
Neal Walk,75.7,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,NA,NA,NA,NA
Hassan Whiteside,75.7,10.3,9.5,6.3,5.3,5.3,0.2,0,NA,NA,NA,NA,NA
Mike Lewis,72.8,7.9,7.5,4,3.8,1.1,0,NA,NA,NA,NA,NA,NA
Myles Turner,72.8,8,6.3,4.7,3.1,NA,NA,NA,NA,NA,NA,NA,NA
