Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Derrick Chievous,,1.6,1.2,-0.1
Derrick Alston,86.3,1.7,1,-0.1
Brian Rowsom,83.0,1.5,1,0
Mickaël Gelabale,82.9,1.5,1.3,0.2
Rudy Macklin,82.2,1.8,1.4,0.1
Joel Freeland,81.2,1.6,1.4,0.2
Dennis Wuycik,79.5,1.4,0.9,-0.1
Kevin Loder,76.5,1.5,0.9,0.1
Chris McNealy,75.4,1.6,0.8,0.2
Skal Labissière,75.0,1.4,1.3,0.3
Hank Whitney,72.6,1.8,1.1,0.5
