Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Stacey King,,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2,NA,NA
Dwight Davis,89.9,3.7,3.3,2.3,1.5,0.6,NA,NA,NA,NA,NA
Dave Budd,88.4,4.1,3.2,2.3,1.2,0.9,NA,NA,NA,NA,NA
Chuck Cooper,87.8,3.3,3.1,2.4,1.7,1.1,0,NA,NA,NA,NA
Derrek Dickey,87.6,3.8,3.1,2.3,1.7,0.3,NA,NA,NA,NA,NA
Jahidi White,87.5,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA,NA,NA
Lawrence Funderburke,85.5,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA,NA,NA
Bill Garnett,85.3,3.9,3.5,2,1.5,NA,NA,NA,NA,NA,NA
Terry Davis,84.2,3.6,3.1,2,1.4,0.5,0.5,0.5,0.4,0.2,-0.1
Frank Kaminsky,84.0,3.6,3.3,2.3,1.8,NA,NA,NA,NA,NA,NA
James Ennis,83.8,3.1,3.1,2.6,1.9,0.9,NA,NA,NA,NA,NA
