Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Kurt Nimphius,,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1
Bob Ferry,88.5,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9
Alex Len,87.3,4.5,3.4,3.2,3,1.3,0.2,NA,NA
Oliver Miller,87.1,5.3,3.8,3.4,3.1,1.8,1.6,0.9,0
John Henson,86.3,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA
Randy Breuer,83.9,5.1,4.5,3,2.4,2,1,0.9,0.3
Will Perdue,82.7,4.7,3.4,2.5,2.5,2.3,0.5,0.2,-0.1
Blair Rasmussen,82.2,5.2,4.2,3.3,3,1.8,1.7,0,-0.1
Chris Kaman,81.6,6.1,3.6,2.9,2.4,2.1,0.8,0.6,0
Spencer Hawes,81.5,4.5,4.5,2.9,2.4,2.1,1.2,0.8,0.6
Aron Baynes,81.1,4.1,3.9,3,3,2.4,0.6,0.1,NA
