Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bones McKinney,,7.1,4.9,3.3,0.2,0,-0.2
Willie Murrell,93.2,7,4.6,3.1,NA,NA,NA
Dave Gambee,87.9,7,5.3,3.3,1.6,0,NA
DeMarre Carroll,87.1,7,5.8,3.1,0.5,0.5,0.1
Reggie Williams,83.9,6.6,5.9,3.3,0.4,0,-1.1
Howie Dallmar,83.8,7,5.9,2.2,NA,NA,NA
Ernie Vandeweghe,83.7,7.1,4.8,3.9,2.1,0.3,-0.1
Dino Rađa,81.6,5.9,4.5,4,-0.2,NA,NA
Joe Graboski,81.3,7.2,5.8,2.3,0.7,0.6,-0.1
Gary Bradds,80.5,8,3.6,3.4,0.5,0.3,0
Bob Lavoy,80.1,5.8,5.8,3.4,1,NA,NA
