Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,28,WSC,BAA,SF,6,NA,NA,0.29,0.4,NA,NA,NA,NA,NA,0,0.2,0.1,NA
1948-49,30,WSC,BAA,SF,10,NA,NA,0.427,0.409,NA,NA,NA,NA,NA,0.6,0.4,1,NA
1949-50,31,WSC,NBA,SF,2,NA,NA,0.331,0.227,NA,NA,NA,NA,NA,-0.1,-0.1,-0.2,NA
1950-51,32,BOS,NBA,SF,2,NA,NA,0.478,0.2,NA,NA,NA,NA,NA,0.1,0.1,0.2,NA
1951-52,33,BOS,NBA,SF,3,20,-3.4,0.222,0,NA,NA,NA,19.3,NA,-0.1,0,-0.1,-0.284
Career,NA,,TOT,,23,20,-3.4,0.374,0.358,NA,NA,NA,19.3,NA,0.5,0.6,1,-0.284
,NA,,BAA,,16,NA,NA,0.372,0.406,NA,NA,NA,NA,NA,0.5,0.6,1.1,NA
,NA,,NBA,,7,20,-3.4,0.381,0.179,NA,NA,NA,19.3,NA,-0.1,0,-0.1,-0.284
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,WSC,BAA,,18,NA,NA,0.369,0.389,NA,NA,NA,NA,NA,0.4,0.5,0.9,NA
2 seasons,NA,BOS,NBA,,5,20,-3.4,0.414,0.147,NA,NA,NA,19.3,NA,0,0.1,0.1,-0.284
