Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,28,WSC,BAA,SF,6,NA,NA,3,14.2,0.212,3.7,5.7,0.647,NA,0.5,2.8,9.7
1948-49,30,WSC,BAA,SF,10,NA,NA,4.5,12.7,0.354,3.8,5.2,0.731,NA,0.9,3.6,12.8
1949-50,31,WSC,NBA,SF,2,NA,NA,3,11,0.273,2,2.5,0.8,NA,1.5,5.5,8
1950-51,32,BOS,NBA,SF,2,NA,NA,5.5,12.5,0.44,2,2.5,0.8,5,4,4.5,13
1951-52,33,BOS,NBA,SF,3,NA,6.7,0.7,3,0.222,0,0,NA,2,0.7,3,1.3
Career,NA,,TOT,,23,NA,6.7,3.6,11.7,0.306,3,4.2,0.708,3.2,1.1,3.6,10.1
,NA,,BAA,,16,NA,NA,3.9,13.3,0.297,3.8,5.4,0.698,NA,0.8,3.3,11.6
,NA,,NBA,,7,NA,6.7,2.7,8,0.339,1.1,1.4,0.8,3.2,1.9,4.1,6.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,WSC,BAA,,18,NA,NA,3.8,13,0.295,3.6,5.1,0.703,NA,0.8,3.6,11.2
2 seasons,NA,BOS,NBA,,5,NA,6.7,2.6,6.8,0.382,0.8,1,0.8,3.2,2,3.6,6
