,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1946-47,28,WSC,BAA,,6,,6,11,,,5,16
1947-48,29,WSC,BAA,,1,,2,4,,,2,4
1948-49,30,WSC,BAA,,9,,7,9,,,6,22
1949-50,31,WSC,NBA,,3,12,4,4,,3,6,10
1950-51,32,TOT,NBA,,7,,3,4,,,5,17
1950-51,32,BOS,NBA,,7,,3,4,,,5,17
1951-52,33,BOS,NBA,,1,5,0,0,,2,5,2
Career,,,TOT,,9,,7,11,,,6,22
,,,NBA,,7,,4,4,,,6,17
,,,BAA,,9,,7,11,,,6,22
,,,,,,,,,,,,
4 Seasons,,WSC,BAA,,9,,7,11,,,6,22
2 Seasons,,BOS,NBA,,7,,3,4,,,5,17
