Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Eric Maynor,,1.9,1.5,0.2,0.1,-0.4
David Wingate,88.0,1.9,1.4,0.2,0.1,-0.5
Quinn Cook,84.6,1.8,1.6,0.2,NA,NA
Donald Sloan,81.2,2,2,0.3,0.1,-0.3
Steve Bracey,79.3,2.1,1.5,0.3,NA,NA
Bryce Drew,78.3,1.7,1.3,0,-0.1,-0.4
Anthony Carter,77.7,1.7,1.4,0.2,-0.2,-0.3
Richie Regan,73.4,1.6,1.5,0.4,NA,NA
Lloyd Daniels,73.2,1.8,1.1,0.2,0.1,0
Andrew Harrison,72.9,1.7,1.6,-0.1,NA,NA
Fred LaCour,72.2,1.7,1.7,-0.1,NA,NA
