Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Eric Maynor,,1.9,1.5,0.2,0.1,-0.4
Quinn Cook,84.6,1.8,1.6,0.2,NA,NA
Donald Sloan,81.2,2,2,0.3,0.1,-0.3
Steve Bracey,79.3,2.1,1.5,0.3,NA,NA
Richie Regan,73.4,1.6,1.5,0.4,NA,NA
Lloyd Daniels,73.2,1.8,1.1,0.2,0.1,0
Andrew Harrison,72.9,1.7,1.6,-0.1,NA,NA
Fred LaCour,72.2,1.7,1.7,-0.1,NA,NA
Sidney Lowe,70.8,1.7,1.5,0.5,0.3,NA
Kenny Rollins,67.6,2.6,1.5,0.1,NA,NA
Rodrigue Beaubois,66.2,2.2,2,0.4,0.2,NA
