Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1968-69,24,LAS,ABA,C,58,1662,13.1,0.5,0.002,0.553,NA,NA,14.8,5.1,15.7,17.8,NA,1.3,1.1,2.4,0.069
1969-70,25,NYA,ABA,C,74,2486,14.8,0.505,0.002,0.476,NA,NA,17,5,17.5,18.8,NA,2.1,3,5.1,0.099
1970-71,26,TOT,ABA,C,34,751,13.3,0.497,0,0.491,NA,NA,17.1,6,19.1,19.9,NA,0.4,0.6,1,0.064
1970-71,26,NYA,ABA,C,26,592,14.2,0.503,0,0.505,NA,NA,18.3,6,19.9,21.4,NA,0.4,0.5,0.9,0.071
1970-71,26,TEX,ABA,C,8,159,9.9,0.466,0,0.426,NA,NA,12.9,6,15.2,14.6,NA,0,0.1,0.1,0.038
Career,NA,,ABA,,166,4899,14,0.502,0.002,0.504,NA,NA,16.2,5.2,17.2,18.7,NA,3.9,4.7,8.5,0.084
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYA,ABA,,100,3078,14.6,0.505,0.002,0.482,NA,NA,17.2,5.2,18,19.3,NA,2.6,3.5,6,0.094
1 season,NA,LAS,ABA,,58,1662,13.1,0.5,0.002,0.553,NA,NA,14.8,5.1,15.7,17.8,NA,1.3,1.1,2.4,0.069
1 season,NA,TEX,ABA,,8,159,9.9,0.466,0,0.426,NA,NA,12.9,6,15.2,14.6,NA,0,0.1,0.1,0.038
