,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,24,LAS,ABA,,11,,0,,,,12,19,,,,,,,30
1969-70,25,NYA,ABA,,12,,1,,,,10,17,,,,,,,27
1970-71,26,TOT,ABA,,11,,0,,,,9,13,,,,,,,26
1970-71,26,NYA,ABA,,11,,0,,,,9,13,,,,,,,26
1970-71,26,TEX,ABA,,5,,0,,,,2,4,,,,,,,12
Career,,,,,12,,1,,,,12,19,,,,,,,30
2 Seasons,,NYA,ABA,,12,,1,,,,10,17,,,,,,,27
1 Season,,LAS,ABA,,11,,0,,,,12,19,,,,,,,30
1 Season,,TEX,ABA,,5,,0,,,,2,4,,,,,,,12
