Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,24,LAS,ABA,C,58,NA,1662,5.7,11.9,0.48,0,0,0,5.7,11.8,0.481,3.4,6.6,0.515,4.3,7.4,11.7,1.3,2.8,6.1,14.8
1969-70,25,NYA,ABA,C,74,NA,2486,5.9,12.3,0.478,0,0,0.5,5.9,12.3,0.478,3.3,5.9,0.559,4.7,8,12.7,1.3,3.2,4.4,15
1970-71,26,TOT,ABA,C,34,NA,751,5.7,12.7,0.449,0,0,NA,5.7,12.7,0.449,3.9,6.2,0.631,4.8,8.1,12.9,1.6,3.6,4.8,15.3
1970-71,26,NYA,ABA,C,26,NA,592,5.9,13.3,0.445,0,0,NA,5.9,13.3,0.445,4.5,6.7,0.673,5,8.5,13.5,1.6,4,4.9,16.3
1970-71,26,TEX,ABA,C,8,NA,159,5,10.6,0.468,0,0,NA,5,10.6,0.468,1.8,4.5,0.4,3.8,7,10.9,1.8,2.3,4.8,11.8
Career,NA,,ABA,,166,NA,4899,5.8,12.2,0.474,0,0,0.333,5.8,12.2,0.474,3.4,6.2,0.554,4.6,7.8,12.4,1.3,3.1,5,15
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYA,ABA,,100,NA,3078,5.9,12.5,0.471,0,0,0.5,5.9,12.4,0.471,3.5,6,0.584,4.8,8.1,12.9,1.3,3.3,4.5,15.3
1 season,NA,LAS,ABA,,58,NA,1662,5.7,11.9,0.48,0,0,0,5.7,11.8,0.481,3.4,6.6,0.515,4.3,7.4,11.7,1.3,2.8,6.1,14.8
1 season,NA,TEX,ABA,,8,NA,159,5,10.6,0.468,0,0,NA,5,10.6,0.468,1.8,4.5,0.4,3.8,7,10.9,1.8,2.3,4.8,11.8
