Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ed Johnson,,5.1,2.4,1,NA,NA,NA,NA
Lee Knorek,91.0,5.1,2.5,1.7,0,NA,NA,NA
Mike Sojourner,90.4,4.7,2.7,0.9,NA,NA,NA,NA
Jamie Feick,88.2,4.8,2.2,0.9,0.2,0.2,NA,NA
Craig Raymond,85.3,4.7,1.7,1,0,0,NA,NA
Greg Oden,85.1,4.6,2.2,0.5,NA,NA,NA,NA
Tom Hoover,78.7,4.4,2.6,0.4,0.1,0,NA,NA
Phil Jordon,75.0,5.2,1.9,1.5,0.7,0.6,0,-0.2
Rich Niemann,74.4,4.4,1.4,1.2,0.2,NA,NA,NA
Todd MacCulloch,69.3,5.6,2.5,2.2,1.7,NA,NA,NA
Tod Murphy,67.8,6.1,1.4,0.4,0.1,0.1,NA,NA
