Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jerami Grant,,7.3,5.4,2.9,2.1,0.5,NA
Ernie Vandeweghe,89.1,7.1,4.8,3.9,2.1,0.3,-0.1
Art Heyman,83.6,8.5,6.1,2.7,1.3,0.6,0
Julius Randle,83.3,6.6,6.1,3.5,1.6,-0.1,NA
Toby Knight,82.8,7.3,5.7,1.6,1.1,NA,NA
Larry Nance,82.0,5.8,4.9,3.5,2.2,NA,NA
John Brisker,81.8,8.2,6.3,3.1,2.3,1.7,0.5
Jack Kerris,81.5,5.9,5.7,4.1,2.1,NA,NA
Dwight Powell,80.2,7.5,6.6,4.6,3.1,0.6,NA
Bones McKinney,80.0,7.1,4.9,3.3,0.2,0,-0.2
Vince Boryla,79.7,7.4,3.9,3.6,2.1,-1,NA
