Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jerami Grant,,7.3,5.4,2.9,2.1,0.5
Wil Jones,90.0,7.4,6,4,2.3,0.6
Ernie Vandeweghe,89.5,7.1,4.8,3.9,2.1,0.3
Zach Randolph,89.4,7.1,4.8,3.1,1.3,0.5
Khris Middleton,86.8,6.7,6.1,2.7,1.6,0.9
Bryon Russell,86.8,7.4,6,2.1,1.4,0.8
Bill Bridges,86.4,7.6,3.9,3.1,2.6,0.6
Joe Graboski,86.0,7.2,5.8,2.3,0.7,0.6
Lamar Odom,86.0,8.4,6.5,3.2,2.2,0.7
Ben Wallace,85.7,7,5.6,3.6,2.9,-0.2
John Williams,85.6,6.9,5,3.5,1.3,1
