,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2014-15,20,PHI,NBA,SF,65,1377,1%,32%,55%,13%,,-6.4,+4.7,41,21,62,13,78,11,187,9,35
2015-16,21,PHI,NBA,PF,77,2066,,4%,55%,41%,1%,-10.1,+1.3,30,33,98,30,148,20,331,23,76
2016-17,22,TOT,NBA,PF,80,1531,,,43%,55%,2%,-4.6,-2.3,13,13,91,11,63,7,111,6,26
2016-17,22,PHI,NBA,PF,2,41,,,8%,92%,,-15.4,-9.5,0,0,4,1,4,0,0,0,2
2016-17,22,OKC,NBA,PF,78,1490,,,44%,54%,2%,-4.3,-7.6,13,13,87,10,59,7,111,6,24
2017-18,23,OKC,NBA,PF,81,1647,,,17%,81%,2%,+0.8,-4.1,14,22,80,10,122,16,153,28,46
2018-19,24,OKC,NBA,PF,80,2612,,,,99%,1%,+4.9,+5.3,16,19,110,21,115,38,204,34,63
2019-20,25,DEN,NBA,PF,64,1676,,2%,31%,67%,1%,-1.3,-9.6,18,11,67,20,90,17,200,24,32
Career,,,NBA,,447,10909,,5%,31%,63%,1%,-2.3,-0.3,132,119,508,105,616,109,1186,124,278
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,239,5749,,,16%,82%,1%,+1.3,-0.8,43,54,277,41,296,61,468,68,133
3 seasons,,PHI,NBA,,144,3484,,15%,54%,30%,,-8.7,+2.5,71,54,164,44,230,31,518,32,113
1 season,,DEN,NBA,,64,1676,,2%,31%,67%,1%,-1.3,-9.6,18,11,67,20,90,17,200,24,32
