Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jim Palmer,,2.4,1.9,0.2,NA,NA
Cheick Diallo,89.1,2.6,1.9,0.5,NA,NA
Joe Holup,88.0,2.1,1.8,0.3,NA,NA
Dave Sorenson,82.9,2.6,2.1,0.7,NA,NA
Jim Bradley,82.3,2.3,1.3,0.1,NA,NA
Juan Hernangómez,81.9,3,1.8,0.4,NA,NA
Sam Pellom,81.8,2.2,1.8,0.7,0,NA
Jon Brockman,80.1,1.9,1.7,0.1,NA,NA
Alaa Abdelnaby,79.8,2.1,2,0.5,0.3,-0.1
Bob Bedell,79.7,2.4,2.2,0.8,0.1,NA
Brandon Ingram,78.0,2.8,2,-0.3,NA,NA
