Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Earl Shannon,,7,0.6,0,NA,NA,NA,NA,NA,NA
Larry Cannon,87.1,7.2,0.1,0,-0.2,NA,NA,NA,NA,NA
Ernie Calverley,69.7,5.5,0.7,-0.5,NA,NA,NA,NA,NA,NA
Arvesta Kelly,59.7,4.9,0.4,0.3,0,-0.1,NA,NA,NA,NA
D'Angelo Russell,57.3,5,1.3,0.4,0,NA,NA,NA,NA,NA
Malik Beasley,54.2,4.5,0.3,0.2,NA,NA,NA,NA,NA,NA
Smush Parker,53.4,5.8,2.3,0.1,-0.1,-0.6,NA,NA,NA,NA
Stephen Chubin,51.4,6.9,4,1.7,NA,NA,NA,NA,NA,NA
Buddy Hield,50.1,5.9,2.8,1.3,NA,NA,NA,NA,NA,NA
Brent Price,48.6,7.4,2.2,1.6,0.7,0.7,0.1,0,0,-0.6
Walt Kirk,48.4,5,2.3,0.4,NA,NA,NA,NA,NA,NA
