Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Arnie Risen,,10.6,9.3,7.8,6.8,5.8,4.6,3.9,2.7,2.6,1.8,NA,NA,NA,NA
Tom Owens,88.9,10.4,8.3,8,6.9,6.9,6,4.8,3.2,2.9,2.5,0.9,0.6,NA,NA
Joakim Noah,88.0,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,NA,NA
Dave Robisch,85.3,10.1,9.1,8.6,8.5,7.8,5.2,5,4.2,2.3,2.3,0.7,0.4,0.1,NA
Swen Nater,85.1,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,NA,NA,NA
Jim Eakins,84.9,9,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9,NA,NA,NA,NA
Arvydas Sabonis,84.6,9.7,8.4,7.5,7.1,5.8,4.9,3.7,NA,NA,NA,NA,NA,NA,NA
Mehmet Okur,82.1,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0,NA,NA,NA,NA
Marcin Gortat,81.3,8.6,8.1,7.6,7.3,6.8,6.4,4.9,3.4,3.4,3.3,1.4,0.1,NA,NA
Mike Gminski,81.2,9.2,7,6.5,6.1,6,5.4,4.3,4,2.9,1.8,1.5,0.5,0.5,0
Zydrunas Ilgauskas,81.1,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5,2.9,2.5,2.5,0.7,0.5,NA
