Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Lewis Lloyd,,6.3,4.7,4.6,2.6,1.6,0.1,0,NA,NA,NA,NA,NA
Ted McClain,84.3,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA,NA,NA
Vincent Askew,83.4,6,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,NA,NA,NA
Mike James,83.0,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0,-0.1,-0.1,-0.1
Kenny Sailors,82.8,5.2,4.9,3.7,1.7,1.6,NA,NA,NA,NA,NA,NA,NA
Phil Ford,82.7,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA,NA,NA,NA
Bob Donham,82.5,6.1,4.5,3.8,3.5,NA,NA,NA,NA,NA,NA,NA,NA
Jeff McInnis,81.6,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1,NA
Dean Meminger,81.5,5,4.4,3.9,2.2,1,0.2,NA,NA,NA,NA,NA,NA
Gene Littles,81.1,7.7,4.8,4.2,3.6,1.6,1.4,NA,NA,NA,NA,NA,NA
Ron Williams,81.0,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA,NA,NA
