Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Lewis Lloyd,,6.3,4.7,4.6,2.6,1.6,0.1,0
Vincent Askew,89.7,6,4.6,4.3,2.9,2.7,0.2,-0.2
Bob Weiss,88.8,5.6,4.7,3.6,2.9,1.7,0.1,0
Mike James,86.4,7.6,5.2,4.3,2.8,1.8,0.3,0
Ted McClain,86.2,7,4.2,4.1,2.7,2,0.8,-0.1
Bryant Stith,85.9,6.8,5.6,5.2,3,1.6,0.5,-0.3
Hubert Davis,84.9,5.6,4.8,4.2,3.4,1.6,1.2,0.1
Reggie Jackson,84.7,6.9,4.9,4.9,2.5,2,1.9,0.1
Craig Hodges,84.4,6,5.3,4.3,2.9,2.4,0.8,0.5
Johnny Dawkins,83.2,6.4,4.3,3.6,2,1.7,1,0.6
Larry Drew,83.0,7.2,4.6,3.6,3,2.8,0.1,0
