Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Charlie Criss,,3.7,2.8,2.5,2.2,2.1,0.3,0.1,0
Trenton Hassell,88.6,4,2.7,2.6,2.3,1.5,0.7,0.2,-0.1
Dennis Schröder,88.6,3.7,2.9,2.6,2.5,2.2,-0.7,NA,NA
Tony Snell,88.4,3.4,3.2,2.4,2.4,1.6,0.4,NA,NA
Tyronn Lue,88.3,3.7,3.7,2.7,2.1,2,0.4,0.3,0.2
Bob Hansen,86.0,4.4,2.8,2.6,2.5,1.7,0.7,-0.1,-0.1
Elfrid Payton,85.8,4.4,2.8,2.3,2.2,1.5,NA,NA,NA
Devin Brown,85.3,3.7,3.5,2.4,1.7,1.4,0.4,0.1,-0.1
Devean George,84.6,4.2,3.4,2.7,2.6,2.1,0.7,0.3,-0.3
Daniel Gibson,84.5,4.1,3.8,2.6,2.4,2,0.5,0.5,NA
Mike McGee,84.2,3.2,3,2.8,2.3,1.9,1.1,0.2,0.2
