Thru 15 Years,Thru 15 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Stacey Augmon,,9.7,5.6,5.1,3.7,3.7,2.6,2.5,2.3,1.8,1.6,1.5,1.5,1.2,0.7,0.3
Drew Gooden,83.2,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0,-0.1,NA
Cedric Ceballos,82.6,9.8,6.2,5.5,5.2,4,2.8,2.4,1.3,1.3,1.3,0.4,NA,NA,NA,NA
Don Kojis,82.1,8.3,5,4.8,3.7,3.3,3.2,2.2,1.9,1.5,0.7,0.7,0.5,NA,NA,NA
Rodney Rogers,82.0,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3,NA,NA,NA
Matt Harpring,81.1,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,NA,NA,NA,NA
Joe Caldwell,79.9,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2,1.1,0.3,NA,NA,NA,NA
Dennis Scott,79.8,8.8,5,4.6,3.8,2.8,2.6,2.4,1.5,1.2,0.7,NA,NA,NA,NA,NA
Antoine Carr,77.9,5.5,5.4,4.3,4,3.8,3.5,3.3,2.4,2.2,2.1,2.1,1.5,1.2,0.7,0
Dave Gambee,77.9,7,5.3,5,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0,NA,NA,NA,NA
Sam Mitchell,77.8,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.9,0.6,NA,NA
