,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,32,POR,NBA,SG,66,1182,1%,58%,41%,,,+2.5,-2.9,13,21,44,11,38,0,217,8,13
2001-02,33,CHH,NBA,SG,77,1319,1%,58%,40%,1%,,+5.1,+6.1,24,16,44,8,41,0,233,6,15
2002-03,34,NOH,NBA,SG,70,862,,54%,46%,,,+5.6,+4.1,19,12,27,5,30,0,156,4,13
2003-04,35,NOH,NBA,SF,69,1416,,23%,74%,3%,,-1.0,-1.0,30,27,40,6,58,0,196,8,26
2004-05,36,ORL,NBA,SF,55,663,,44%,54%,1%,,-5.3,-3.1,11,6,42,11,31,0,78,3,12
2005-06,37,ORL,NBA,SF,36,385,,14%,83%,3%,,+6.1,+8.0,3,5,11,1,10,6,52,1,7
Career,,,NBA,,373,5827,,45%,54%,1%,,+2.0,+1.3,100,87,208,42,208,6,932,30,86
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,139,2278,,35%,63%,2%,,+1.5,+0.9,49,39,67,11,88,0,352,12,39
2 seasons,,ORL,NBA,,91,1048,,33%,65%,2%,,-1.1,+0.9,14,11,53,12,41,6,130,4,19
1 season,,CHH,NBA,,77,1319,1%,58%,40%,1%,,+5.1,+6.1,24,16,44,8,41,0,233,6,15
1 season,,POR,NBA,,66,1182,1%,58%,41%,,,+2.5,-2.9,13,21,44,11,38,0,217,8,13
