Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1970-71,22,DNR,ABA,SG,39,NA,261,7.2,18.2,0.394,1.1,4.6,0.242,6.1,13.7,0.444,3,5.7,0.537,3,3.6,6.6,4,NA,4.1,5.9,18.5
1971-72,23,DNR,ABA,SG,9,NA,36,5,23,0.217,0,2,0,5,21,0.238,4,7,0.571,3,1,4,6,NA,3,9,14
Career,NA,,ABA,,48,NA,297,6.9,18.8,0.368,1,4.2,0.229,5.9,14.5,0.408,3.2,5.8,0.542,3,3.3,6.3,4.2,NA,4,6.3,17.9
