Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kevon Looney,,6,2.8,1.4,0.1,NA,NA,NA
Don May,88.4,6.1,2.9,1.3,0.5,0.3,0.2,0
Wah Wah Jones,85.0,5.9,2.1,0.8,NA,NA,NA,NA
Dario Šarić,82.6,6.6,3.5,1,NA,NA,NA,NA
Travis Grant,80.9,5.6,4.1,1.5,0.5,NA,NA,NA
Larry Stewart,80.1,4.7,2.9,1.6,0.5,0.1,NA,NA
Jaylen Brown,79.7,4.5,3,1.5,NA,NA,NA,NA
Landry Fields,79.0,5.3,3.4,1.1,0.4,0.3,NA,NA
Sam Smith,78.4,4.6,3.3,1.4,0.2,NA,NA,NA
Dick Mehen,77.7,5.6,1.9,0.6,NA,NA,NA,NA
Zeke Zawoluk,71.7,3.9,2.5,1.7,NA,NA,NA,NA
