Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Kevon Looney,,6,2.8,1.4,0.1
Larry Krystkowiak,90.5,6.3,2.1,1.4,0.1
George Carter,88.2,6.4,2.9,2.2,0
Matt Harpring,87.0,6.1,2.6,2.6,0.2
Tom Boswell,86.2,5.6,2.7,2.4,0.2
Rich Jones,86.0,5.8,1.9,1.8,0.2
Kenny Carr,85.2,5.8,3.8,1.1,0
Wah Wah Jones,85.0,5.9,2.1,0.8,NA
Don May,84.6,6.1,2.9,0.2,0
JaMychal Green,84.2,5.8,2.6,2.6,0.4
Julius Randle,84.2,6.6,3.5,1.6,-0.1
