Season,Team,Lg,Salary
2015-16,Golden State Warriors,NBA,"$1,131,960"
2016-17,Golden State Warriors,NBA,"$1,182,840"
2017-18,Golden State Warriors,NBA,"$1,471,382"
2018-19,Golden State Warriors,NBA,"$1,567,007"
Career,(may be incomplete),,"$5,353,189"
