Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,26,PHW,BAA,NA,56,NA,NA,3,9.3,0.325,2.3,3.5,0.651,NA,1.6,2.4,8.3
Career,NA,,BAA,NA,56,NA,NA,3,9.3,0.325,2.3,3.5,0.651,NA,1.6,2.4,8.3
