Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Kyle Weaver,,1.2,0.3,0
D'Angelo Russell,88.6,1.3,0.4,0
Ronnie Price,86.9,1.1,0.4,0.1
Marco Belinelli,85.0,1.2,0.5,0
Mitchell Butler,84.7,1.1,0.3,-0.2
Keyon Dooling,82.9,1.4,0.3,0
Tate George,82.9,1.1,0.4,-0.1
Eddie Hughes,79.7,1,0.4,0
Elston Turner,79.4,1.4,0.3,0.1
Norris Cole,79.1,1.2,0.6,0
Reggie Bullock,78.5,1.2,0.2,0.1
