Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kyle Weaver,,1.2,0.3,0,NA,NA,NA,NA
Willie Smith,83.4,1,0.3,0,0,NA,NA,NA
Tate George,80.8,1.1,0.4,0,-0.1,NA,NA,NA
Eddie Hughes,79.7,1,0.4,0,NA,NA,NA,NA
Nate Hawthorne,75.9,1.1,0.5,0.1,NA,NA,NA,NA
Lowes Moore,73.7,1.1,0.2,0.2,NA,NA,NA,NA
Andre McCarter,72.5,0.8,0.3,0,NA,NA,NA,NA
Kelvin Upshaw,69.3,1,0.3,0.3,NA,NA,NA,NA
Stan Pietkiewicz,68.7,1,0.6,0,NA,NA,NA,NA
Ray McCallum,67.8,1.4,0.4,0.3,NA,NA,NA,NA
Eddie Gill,66.2,1.1,0.3,0.2,0.1,0.1,0.1,0
