Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Si Green,,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA
Wes Matthews,87.9,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1
Alonzo Gee,82.7,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA
Mike Evans,80.8,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Sam Vincent,80.4,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA
Ledell Eackles,80.0,2.4,2.1,2,1.2,1,1,1,NA,NA
Rick Adelman,79.8,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA
Anthony Bowie,78.8,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA
Haywoode Workman,78.4,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA
Mike Bratz,77.9,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1
Quincy Pondexter,77.3,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,NA,NA
