,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,24,CHS,BAA,,5,,2,5,,,6,12
1949-50,25,CHS,NBA,,5,,3,6,,,6,13
1951-52,27,ROC,NBA,,3,,5,7,,,5,11
1952-53,28,ROC,NBA,,3,,2,2,,0,6,8
1953-54,29,ROC,NBA,,4,,5,5,,,6,13
1954-55,30,ROC,NBA,,5,,7,8,,,5,17
1955-56,31,FTW,NBA,,4,,5,11,,,5,13
Career,,,TOT,,5,,7,11,,,6,17
,,,NBA,,5,,7,11,,,6,17
,,,BAA,,5,,2,5,,,6,12
,,,,,,,,,,,,
4 Seasons,,ROC,NBA,,5,,7,8,,,6,17
1 Season,,FTW,NBA,,4,,5,11,,,5,13
2 Seasons,,CHS,BAA,,5,,3,6,,,6,13
