Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Odie Spears,,5.6,5.2,4.7,3.8,3.3,3.1,2,NA
Walt Hazzard,91.8,5.4,5.3,5,4.5,3.3,2.5,2.2,0.2
Jarrett Jack,90.7,5.6,4.8,4.8,4.1,3.8,3.2,2.4,1.2
John Paxson,90.1,6,5.7,4.8,4.2,3.3,2.3,2.2,0.6
Bill Keller,89.8,6.1,5.4,4.4,4.1,4,3.6,2.7,NA
Larry Steele,89.6,5.7,5.2,4.8,3.6,3,2,1.9,1.6
John Long,88.9,5.3,4.7,3.6,3.6,3.3,2.4,2,0.2
Sherman Douglas,88.5,5.4,4.6,4.4,4.2,3.3,2.7,2.6,1
Ricky Sobers,88.4,5.3,4.8,4.3,3.8,2.8,2.4,2.4,1
Brandon Jennings,88.3,5.8,5.5,4.2,3.9,3.9,3.3,1.7,1.5
Lou Williams,88.3,6.1,5.2,5.1,4.4,3.4,2.4,1.1,-0.1
