Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Andre Turner,,1.9,0.4,0,-0.1,-0.1,-0.3
Stephen Graham,71.7,1.6,0.4,0,0,-0.1,-0.3
Travis Mays,71.3,2.1,0.3,0,NA,NA,NA
Kevin Williams,68.3,1.9,0.6,0.1,0.1,-0.1,NA
Stan Noszka,66.0,1.8,0.4,-0.2,NA,NA,NA
Jerry Eaves,64.6,2,0.7,0,-0.1,NA,NA
John Kuester,63.3,1.9,0.1,0,NA,NA,NA
Emanual Davis,61.2,1.8,0.5,0.3,0.3,-0.1,-0.3
Bernard Robinson,60.7,1.7,0.3,0.1,NA,NA,NA
Trajan Langdon,60.0,2,0.6,0.3,NA,NA,NA
Danuel House,58.9,2.3,0.6,0,NA,NA,NA
