Season,Team,Lg,Salary
1991-92,Sacramento Kings,NBA,"$210,000"
1992-93,Sacramento Kings,NBA,"$250,000"
1993-94,Sacramento Kings,NBA,"$597,000"
1994-95,Sacramento Kings,NBA,"$700,000"
1995-96,Chicago Bulls,NBA,"$900,000"
1996-97,Chicago Bulls,NBA,"$1,300,000"
1997-98,Chicago Bulls,NBA,"$1,260,000"
1998-99,Chicago Bulls,NBA,"$1,320,000"
1999-00,Chicago Bulls,NBA,"$1,200,000"
2000-01,Boston Celtics,NBA,"$2,250,000"
2001-02,Boston Celtics,NBA,"$2,475,000"
2002-03,Phoenix Suns,NBA,"$2,700,000"
Career,(may be incomplete),,"$15,162,000"
