Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Randy Brown,,2.4,1.9,1.8,1.6,1.5,1,0.9,0.4,0.3,0.2,0,-0.8,NA,NA,NA
David Wingate,84.2,2.4,2.3,1.9,1.7,1.4,1,0.6,0.4,0.3,0.2,0.1,0.1,0,-0.1,-0.5
John Crotty,83.1,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1,NA,NA,NA,NA
Shelvin Mack,80.9,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
Mike Bratz,78.4,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA,NA,NA,NA,NA
Ledell Eackles,77.4,2.4,2.1,2,1.2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
Alec Burks,76.7,3.2,1.9,1.7,1.5,1.5,1.5,1,0.8,NA,NA,NA,NA,NA,NA,NA
Gary Grant,76.4,3,1.7,1.6,1.4,1.3,1.3,1.1,0.6,0.4,0.1,0,0,-0.4,NA,NA
Iman Shumpert,76.2,2.4,2,2,1.9,1.7,1.5,1.4,0,NA,NA,NA,NA,NA,NA,NA
Alonzo Gee,76.0,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA,NA,NA,NA,NA,NA,NA
Anthony Bowie,74.8,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
