Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,28,ROC,BAA,PG,4,NA,NA,4.5,10,0.45,1.3,1.5,0.833,NA,3.3,0.8,10.3
1949-50,29,ROC,NBA,PG,2,NA,NA,1.5,4.5,0.333,0.5,1,0.5,NA,0,1.5,3.5
1950-51,30,ROC,NBA,PG,14,NA,NA,2.2,5.4,0.408,1.6,2.4,0.676,1.4,1.4,1,6.1
1951-52,31,ROC,NBA,PG,6,NA,10.8,0.5,2.5,0.2,0.2,1,0.167,1,0.3,0.5,1.2
1952-53,32,ROC,NBA,PG,2,NA,7,0.5,2.5,0.2,0.5,2,0.25,0.5,0.5,2,1.5
Career,NA,,TOT,,28,NA,9.9,2,5.2,0.386,1.1,1.9,0.596,1.2,1.3,1,5.1
,NA,,NBA,,24,NA,9.9,1.6,4.4,0.362,1.1,1.9,0.565,1.2,1,1,4.3
,NA,,BAA,,4,NA,NA,4.5,10,0.45,1.3,1.5,0.833,NA,3.3,0.8,10.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,ROC,BAA,,28,NA,9.9,2,5.2,0.386,1.1,1.9,0.596,1.2,1.3,1,5.1
