Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1948-49,28,ROC,BAA,PG,4,NA,NA,0.481,0.15,NA,NA,NA,NA,NA,0.4,0.1,0.5,NA
1949-50,29,ROC,NBA,PG,2,NA,NA,0.354,0.222,NA,NA,NA,NA,NA,0,0,-0.1,NA
1950-51,30,ROC,NBA,PG,14,NA,NA,0.467,0.447,NA,NA,NA,NA,NA,0.4,0.2,0.6,NA
1951-52,31,ROC,NBA,PG,6,65,-1.9,0.198,0.4,NA,NA,NA,6,NA,-0.3,0.1,-0.3,-0.195
1952-53,32,ROC,NBA,PG,2,14,-9,0.222,0.8,NA,NA,NA,19.5,NA,-0.1,0,-0.1,-0.316
Career,NA,,TOT,,28,79,-3.2,0.426,0.359,NA,NA,NA,8.4,NA,0.3,0.4,0.7,-0.216
,NA,,NBA,,24,79,-3.2,0.407,0.438,NA,NA,NA,8.4,NA,-0.1,0.3,0.2,-0.216
,NA,,BAA,,4,NA,NA,0.481,0.15,NA,NA,NA,NA,NA,0.4,0.1,0.5,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,ROC,BAA,,28,79,-3.2,0.426,0.359,NA,NA,NA,8.4,NA,0.3,0.4,0.7,-0.216
