,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1948-49,28,ROC,BAA,,10,,6,8,,,,24
1949-50,29,ROC,NBA,,7,,7,11,,,,17
1950-51,30,ROC,NBA,,9,,10,,,,,22
1951-52,31,ROC,NBA,,7,,4,5,,,6,16
1952-53,32,ROC,NBA,,5,,3,4,,,,13
1953-54,33,MLH,NBA,,6,,5,,,,,13
Career,,,TOT,,10,,10,,,,,24
,,,NBA,,9,,10,,,,,22
,,,BAA,,10,,6,8,,,,24
,,,,,,,,,,,,
5 Seasons,,ROC,BAA,,10,,10,,,,,24
1 Season,,MLH,NBA,,6,,5,,,,,13
