,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1994-95,19,INDIANA,28,540,84,170,4,8,31,45,,108,21,16,16,49,80,203,.494,.500,.689,19.3,7.3,3.9,0.8
1995-96,20,INDIANA,31,803,130,282,20,57,70,95,,191,46,28,42,73,103,350,.461,.351,.737,25.9,11.3,6.2,1.5
1996-97,21,INDIANA,30,829,151,321,11,43,97,128,,201,43,32,39,77,91,410,.470,.256,.758,27.6,13.7,6.7,1.4
1997-98,22,INDIANA,32,,152,307,10,36,88,111,,187,46,29,30,,,402,.495,.278,.793,,12.6,5.8,1.4
Career,,,121,2172,517,1080,45,144,286,379,,687,156,105,127,199,274,1365,.479,.313,.755,24.4,11.3,5.7,1.3
