Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,CIN,NBA,PF,61,NA,736,131,351,0.373,110,165,0.667,NA,NA,293,27,NA,NA,95,372
1965-66,23,CIN,NBA,PF,72,NA,1794,398,814,0.489,220,321,0.685,NA,NA,546,44,NA,NA,216,1016
1966-67,24,CIN,NBA,SF,79,NA,2442,461,962,0.479,252,382,0.66,NA,NA,631,62,NA,NA,273,1174
1967-68,25,TOT,NBA,PF,74,NA,2517,481,987,0.487,365,522,0.699,NA,NA,617,95,NA,NA,199,1327
1967-68,25,CIN,NBA,PF,48,NA,1625,317,630,0.503,203,296,0.686,NA,NA,355,58,NA,NA,127,837
1967-68,25,DET,NBA,PF,26,NA,892,164,357,0.459,162,226,0.717,NA,NA,262,37,NA,NA,72,490
1968-69,26,DET,NBA,PF,81,NA,2889,530,1131,0.469,404,553,0.731,NA,NA,959,109,NA,NA,255,1464
1969-70,27,TOT,NBA,PF,70,NA,2427,483,973,0.496,326,413,0.789,NA,NA,775,121,NA,NA,230,1292
1969-70,27,DET,NBA,PF,15,NA,282,57,103,0.553,45,63,0.714,NA,NA,88,11,NA,NA,36,159
1969-70,27,LAL,NBA,PF,55,NA,2145,426,870,0.49,281,350,0.803,NA,NA,687,110,NA,NA,194,1133
1970-71,28,LAL,NBA,PF,80,NA,2921,574,1233,0.466,337,431,0.782,NA,NA,797,168,NA,NA,256,1485
1971-72,29,LAL,NBA,PF,80,NA,2748,368,798,0.461,311,399,0.779,NA,NA,1045,193,NA,NA,251,1047
1972-73,30,LAL,NBA,PF,28,NA,939,158,328,0.482,140,178,0.787,NA,NA,370,68,NA,NA,77,456
1973-74,31,LAL,NBA,PF,77,NA,2634,385,759,0.507,343,445,0.771,335,705,1040,208,64,17,264,1113
1974-75,32,LAL,NBA,PF,74,NA,2283,271,536,0.506,217,271,0.801,304,642,946,173,52,11,218,759
Career,NA,,NBA,,776,NA,24330,4240,8872,0.478,3025,4080,0.741,639,1347,8019,1268,116,28,2334,11505
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,LAL,NBA,,394,NA,13670,2182,4524,0.482,1629,2074,0.785,639,1347,4885,920,116,28,1260,5993
4 seasons,NA,CIN,NBA,,260,NA,6597,1307,2757,0.474,785,1164,0.674,NA,NA,1825,191,NA,NA,711,3399
3 seasons,NA,DET,NBA,,122,NA,4063,751,1591,0.472,611,842,0.726,NA,NA,1309,157,NA,NA,363,2113
