,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1964-65,22,CIN,NBA,,4,14,1,2,,,9,2,,,1,9
1965-66,23,CIN,NBA,,8,,13,16,,,,,,,,24
1966-67,24,CIN,NBA,,12,20,3,6,,,12,2,,,5,26
1967-68,25,TOT,NBA,,8,,4,5,,,,,,,,18
1967-68,25,DET,NBA,,8,,4,5,,,,,,,,18
1969-70,27,TOT,NBA,,9,16,7,10,,,10,6,,,5,18
1969-70,27,LAL,NBA,,9,16,7,10,,,10,6,,,5,18
1970-71,28,LAL,NBA,,11,18,11,11,,,12,5,,,6,27
1971-72,29,LAL,NBA,,7,17,8,9,,,20,4,,,6,20
1972-73,30,LAL,NBA,,1,5,6,8,,,2,1,,,2,6
1973-74,31,LAL,NBA,,5,11,7,9,,,12,7,,,3,17
Career,,,,,12,,13,16,,,,,,,,27
5 Seasons,,LAL,NBA,,11,18,11,11,,,20,7,,,6,27
3 Seasons,,CIN,NBA,,12,,13,16,,,,,,,,26
1 Season,,DET,NBA,,8,,4,5,,,,,,,,18
