Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Happy Hairston,,9.3,9.2,8.8,7.2,7,7,6.5,5.3,5.1,4.2,0.4
Clifford Robinson,95.9,9.6,8.7,8,7.5,7.1,6.8,6.6,5.3,4.6,4.2,0.3
Jamaal Wilkes,92.8,10,8.5,8.3,7.7,7.4,7.3,6.9,6,5.1,3.3,0.9
Dan Roundfield,92.5,9.1,8.7,7.4,7.1,7,6.9,6.5,5.1,3.9,2.7,1.3
Shareef Abdur-Rahim,92.0,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8
John Drew,91.8,10.6,8.9,8.9,7.9,7.1,6.4,5.5,5.4,4.5,3,0.7
Antawn Jamison,91.4,9.2,9,8.5,8.2,8.1,6.8,6.7,6.4,5.4,2.3,1.4
Jack Twyman,91.4,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8
David West,91.0,9.1,8.4,8.1,7.8,7.8,7.5,7.4,5.9,5.2,2.8,0.2
Larry Johnson,90.7,10.1,9.6,8.9,8.5,7.7,6.9,5.1,4.9,4.1,3.9,NA
Mark Aguirre,90.6,9,8.9,8.8,7.2,6.9,5.7,5.5,4.7,4.5,2.2,1.9
