Season,Team,Lg,Salary
2015-16,Chicago Bulls,NBA,"$1,391,160"
2016-17,Chicago Bulls,NBA,"$1,453,680"
2017-18,Chicago Bulls,NBA,"$1,516,320"
2018-19,Washington Wizards,NBA,"$2,494,346"
Career,(may be incomplete),,"$6,855,506"
