Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bobby Portis,,3.5,2.4,1.6,1.5
George Kaftan,96.8,3.4,2.4,1.7,1.6
Bingo Smith,92.8,3.3,2.4,1.6,1.1
J.R. Reid,91.3,3.4,2.1,1.8,1.1
Ryan Bowen,90.7,3.1,2.1,1.7,1.4
Lavoy Allen,90.5,2.8,2.5,1.6,1.5
Othella Harrington,89.9,3,2.2,1.7,1.4
Don Barksdale,89.0,3.1,2.3,2.2,1.5
Mark Landsberger,88.6,3.4,2.2,2.2,1.9
Trevor Ariza,87.8,3.4,2.1,1.8,0.9
Scott Williams,87.7,3.9,2.3,1.7,0.9
