Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bobby Portis,,3.5,2.4,1.6,1.5,NA,NA
George Kaftan,95.4,3.4,2.4,1.7,1.6,-0.1,NA
Billy Thompson,91.2,3.6,2.8,1.7,1.6,0,-0.1
George Trapp,90.0,3.5,2.4,1.5,1,0.1,-0.2
Don Barksdale,89.0,3.1,2.3,2.2,1.5,NA,NA
Josh Boone,87.3,3.7,1.8,1.8,1.7,NA,NA
Bob Doll,87.2,4,2.8,1.8,1.6,NA,NA
Cristiano Felício,85.5,3.4,1.7,1.4,1.2,NA,NA
Darren Daye,83.2,3.8,2.4,1.3,1.2,0.6,NA
Greg Kelser,83.2,3.9,2.5,1.4,0.8,0.1,0
Shellie McMillon,82.7,2.5,2.2,1.7,1.7,NA,NA
