Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Ronald Taylor,,1.7,0,-0.2
Bevo Nordmann,81.7,1.7,0.1,0
Don Martin,80.9,1.6,-0.1,-0.2
Gene Tormohlen,68.3,1.4,0.1,0
Wang Zhizhi,65.3,1.5,0.1,0.1
Mike Novak,63.2,1.8,0.6,-0.2
Wallace Bryant,62.4,1.3,0,0
Granville Waiters,58.7,1.3,0.2,-0.2
Lee Davis,58.6,1.5,0.2,0.2
Gene Conley,57.7,2.1,0.4,0
LaRue Martin,57.5,1.9,0.4,-0.4
