Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,TOT,ABA,C,75,NA,910,6.2,12.9,0.477,0,0,NA,6.2,12.9,0.477,2.3,4,0.559,4.7,6.8,11.6,2.5,NA,4.9,8.6,14.6
1969-70,22,NYA,ABA,C,72,NA,873,6.3,13.1,0.481,0,0,NA,6.3,13.1,0.481,2.2,4,0.557,4.9,6.9,11.8,2.6,NA,4.9,8.5,14.8
1969-70,22,WSA,ABA,C,3,NA,37,2.9,8.8,0.333,0,0,NA,2.9,8.8,0.333,2.9,4.9,0.6,1,5.8,6.8,0,NA,3.9,10.7,8.8
1970-71,23,VIR,ABA,C,1,NA,25,1.4,13,0.111,0,0,NA,1.4,13,0.111,0,1.4,0,0,0,0,5.8,NA,0,8.6,2.9
1971-72,24,PTC,ABA,C,1,NA,4,0,9,0,0,0,NA,0,9,0,0,0,NA,9,0,9,0,NA,9,45,0
Career,NA,,ABA,,77,NA,939,6,12.9,0.466,0,0,NA,6,12.9,0.466,2.2,3.9,0.553,4.6,6.6,11.3,2.6,NA,4.8,8.8,14.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYA,ABA,,72,NA,873,6.3,13.1,0.481,0,0,NA,6.3,13.1,0.481,2.2,4,0.557,4.9,6.9,11.8,2.6,NA,4.9,8.5,14.8
2 seasons,NA,"WSA,VIR",ABA,,4,NA,62,2.3,10.5,0.222,0,0,NA,2.3,10.5,0.222,1.7,3.5,0.5,0.6,3.5,4.1,2.3,NA,2.3,9.9,6.4
1 season,NA,PTC,ABA,,1,NA,4,0,9,0,0,0,NA,0,9,0,0,0,NA,9,0,9,0,NA,9,45,0
