Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1969-70,22,TOT,ABA,C,75,910,9.7,0.496,0,0.312,NA,NA,15.4,10.1,NA,25,20.5,NA,0.6,1.1,1.7,0.09
1969-70,22,NYA,ABA,C,72,873,10.3,0.499,0,0.305,NA,NA,15.7,10.5,NA,25,20.7,NA,0.7,1.1,1.7,0.096
1969-70,22,WSA,ABA,C,3,37,-3.3,0.402,0,0.556,NA,NA,8.3,0,NA,26.3,14.6,NA,0,0,0,-0.038
1970-71,23,VIR,ABA,C,1,25,-7.1,0.106,0,0.111,NA,NA,0,16.9,NA,0,13.3,NA,-0.2,0,-0.2,-0.29
1971-72,24,PTC,ABA,C,1,4,-35.8,0,0,0,22.9,0,11.4,0,NA,50,18.2,NA,0,0,0,-0.305
Career,NA,,ABA,,77,939,9.1,0.485,0,0.306,22.9,0,15,10.2,NA,24.6,20.3,NA,0.4,1.1,1.5,0.079
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYA,ABA,,72,873,10.3,0.499,0,0.305,NA,NA,15.7,10.5,NA,25,20.7,NA,0.7,1.1,1.7,0.096
2 seasons,NA,"WSA,VIR",ABA,,4,62,-4.8,0.266,0,0.333,NA,NA,5,6.8,NA,16.2,14.1,NA,-0.2,0,-0.2,-0.139
1 season,NA,PTC,ABA,,1,4,-35.8,0,0,0,22.9,0,11.4,0,NA,50,18.2,NA,0,0,0,-0.305
