Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,TOT,ABA,C,75,NA,910,156,327,0.477,0,0,NA,156,327,0.477,0.477,57,102,0.559,120,173,293,64,NA,124,218,369
1969-70,22,NYA,ABA,C,72,NA,873,153,318,0.481,0,0,NA,153,318,0.481,0.481,54,97,0.557,119,167,286,64,NA,120,207,360
1969-70,22,WSA,ABA,C,3,NA,37,3,9,0.333,0,0,NA,3,9,0.333,0.333,3,5,0.6,1,6,7,0,NA,4,11,9
1970-71,23,VIR,ABA,C,1,NA,25,1,9,0.111,0,0,NA,1,9,0.111,0.111,0,1,0,0,0,0,4,NA,0,6,2
1971-72,24,PTC,ABA,C,1,NA,4,0,1,0,0,0,NA,0,1,0,0,0,0,NA,1,0,1,0,NA,1,5,0
Career,NA,,ABA,,77,NA,939,157,337,0.466,0,0,NA,157,337,0.466,0.466,57,103,0.553,121,173,294,68,NA,125,229,371
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYA,ABA,,72,NA,873,153,318,0.481,0,0,NA,153,318,0.481,0.481,54,97,0.557,119,167,286,64,NA,120,207,360
2 seasons,NA,"WSA,VIR",ABA,,4,NA,62,4,18,0.222,0,0,NA,4,18,0.222,0.222,3,6,0.5,1,6,7,4,NA,4,17,11
1 season,NA,PTC,ABA,,1,NA,4,0,1,0,0,0,NA,0,1,0,0,0,0,NA,1,0,1,0,NA,1,5,0
