Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,TOT,ABA,C,75,NA,12.1,2.1,4.4,0.477,0,0,NA,2.1,4.4,0.477,0.477,0.8,1.4,0.559,1.6,2.3,3.9,0.9,NA,1.7,2.9,4.9
1969-70,22,NYA,ABA,C,72,NA,12.1,2.1,4.4,0.481,0,0,NA,2.1,4.4,0.481,0.481,0.8,1.3,0.557,1.7,2.3,4,0.9,NA,1.7,2.9,5
1969-70,22,WSA,ABA,C,3,NA,12.3,1,3,0.333,0,0,NA,1,3,0.333,0.333,1,1.7,0.6,0.3,2,2.3,0,NA,1.3,3.7,3
1970-71,23,VIR,ABA,C,1,NA,25,1,9,0.111,0,0,NA,1,9,0.111,0.111,0,1,0,0,0,0,4,NA,0,6,2
1971-72,24,PTC,ABA,C,1,NA,4,0,1,0,0,0,NA,0,1,0,0,0,0,NA,1,0,1,0,NA,1,5,0
Career,NA,,ABA,,77,NA,12.2,2,4.4,0.466,0,0,NA,2,4.4,0.466,0.466,0.7,1.3,0.553,1.6,2.2,3.8,0.9,NA,1.6,3,4.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NYA,ABA,,72,NA,12.1,2.1,4.4,0.481,0,0,NA,2.1,4.4,0.481,0.481,0.8,1.3,0.557,1.7,2.3,4,0.9,NA,1.7,2.9,5
2 seasons,NA,"WSA,VIR",ABA,,4,NA,15.5,1,4.5,0.222,0,0,NA,1,4.5,0.222,0.222,0.8,1.5,0.5,0.3,1.5,1.8,1,NA,1,4.3,2.8
1 season,NA,PTC,ABA,,1,NA,4,0,1,0,0,0,NA,0,1,0,0,0,0,NA,1,0,1,0,NA,1,5,0
