Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ronald Taylor,,1.7,0,-0.2,NA,NA
Don Martin,80.9,1.6,-0.1,-0.2,NA,NA
Bevo Nordmann,75.9,1.7,0.1,0.1,0,NA
Mike Novak,63.2,1.8,0.6,-0.2,NA,NA
Wallace Bryant,62.4,1.3,0,0,NA,NA
John Shasky,54.9,1.9,0.7,-0.1,NA,NA
Wang Zhizhi,52.4,1.5,0.2,0.1,0.1,0.1
Chris Anstey,45.1,1.9,0.6,0.3,NA,NA
Audie Norris,41.3,1.9,1.1,-0.1,NA,NA
LaRue Martin,40.5,1.9,0.4,0.1,-0.4,NA
George Johnson,39.0,2.4,0.3,0.2,0.1,NA
