,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1969-70,22,TOT,ABA,,13,,0,,,,5,11,,,,,,,,27
1969-70,22,NYA,ABA,,13,,0,,,,5,11,,,,,,,,27
1969-70,22,WSA,ABA,,2,,0,,,,3,5,,,,,,,,5
1970-71,23,VIR,ABA,,2,,0,,,,0,0,,,,,,,,4
1971-72,24,PTC,ABA,,0,,0,,,,0,0,,,,,,,,0
Career,,,,,13,,0,,,,5,11,,,,,,,,27
1 Season,,NYA,ABA,,13,,0,,,,5,11,,,,,,,,27
2 Seasons,,"VIR,WSA",ABA,,2,,0,,,,3,5,,,,,,,,5
1 Season,,PTC,ABA,,0,,0,,,,0,0,,,,,,,,0
