Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Sam Jacobson,,0.9,0.2,0
Ian Clark,85.4,0.9,0.2,-0.1
Joe Harris,82.0,0.8,0.2,0
Greg Sutton,81.1,0.8,0.2,-0.1
Mike Holton,77.7,0.8,0.3,0.2
Connie Norman,77.1,0.8,0.2,0.2
Andre McCarter,76.7,0.8,0.3,0
Ricky Davis,73.7,1.1,0.2,0.2
Greg Graham,72.8,0.8,0.3,0.1
Pace Mannion,72.0,0.9,0.4,0.2
Troy Daniels,71.3,1.1,0.2,0.2
