Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sam Jacobson,,0.9,0.2,0,NA
Greg Sutton,81.1,0.8,0.2,-0.1,NA
Connie Norman,77.1,0.8,0.2,0.2,NA
Andre McCarter,76.7,0.8,0.3,0,NA
Willie Smith,76.5,1,0.3,0,0
Wayne Chapman,74.3,1,0.1,0,-0.1
Tom Ingelsby,70.9,0.7,0.1,0,NA
Eddie Hughes,70.4,1,0.4,0,NA
Lowes Moore,68.8,1.1,0.2,0.2,NA
Kelvin Upshaw,68.0,1,0.3,0.3,NA
Tarence Kinsey,66.1,0.9,0.6,0,NA
