Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Coby Dietrick,,4.5,4.4,4.1,3,2.9,2.5,2.3,2.1,1.7,0.3,0.1,0,0
Joe Meriweather,91.6,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,NA,NA,NA
Marreese Speights,90.7,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6,NA,NA,NA
Mel Counts,88.9,5,4.3,4.2,2.9,2.7,2,1.9,1.5,1.5,1,0.4,0.3,NA
Will Perdue,87.5,4.7,4.7,4.4,3.4,2.5,2.5,2.3,1.5,0.5,0.3,0.2,-0.1,-0.5
Nazr Mohammed,87.2,4.6,4.5,3.7,3.6,3.4,3.3,2.7,2.5,2.3,0.4,0,0,-0.1
Andrew Lang,86.0,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,NA
Clemon Johnson,85.0,4.3,4,3.7,3.5,2.2,2,2,1.7,1.2,0.9,NA,NA,NA
Otto Moore,84.7,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA,NA,NA
Jon Koncak,84.0,3.8,3.7,3.7,3.7,3.1,2.5,2.3,2,1.8,1.4,1.1,NA,NA
Chris Dudley,83.8,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1,0.5,0.2,0.1,0
