Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dorie Murrey,,2.2,1.9,1.6,0.5,0.2,0.1
Johnny Baum,88.7,2,1.9,1.5,0.4,-0.1,NA
Lamar Green,87.2,2.4,2,1.9,0.5,0.4,0.2
Kris Humphries,82.8,1.9,1.8,1.5,0.7,0.2,-0.3
Jud Buechler,81.4,2.3,1.8,1.5,1.2,0.5,0.4
Barry Clemens,81.2,2.8,1.8,1.7,0.9,0.1,0.1
Chuck Terry,81.0,2.3,2.1,1.2,0.7,0.1,NA
James Hardy,80.9,2.5,1.8,1.3,0.7,NA,NA
George Lee,80.4,2.6,1.7,1.2,0.6,0.4,0.1
Togo Palazzi,79.7,2,1.7,1.6,0.8,0.6,-0.2
Michael Ruffin,78.3,1.9,1.7,1,0.6,0.2,0
