Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dorie Murrey,,2.2,1.9,1.6,0.5,0.2,0.1,NA
Johnny Baum,88.7,2,1.9,1.5,0.4,-0.1,NA,NA
Lamar Green,87.2,2.4,2,1.9,0.5,0.4,0.2,NA
Chuck Terry,81.0,2.3,2.1,1.2,0.7,0.1,NA,NA
James Hardy,80.9,2.5,1.8,1.3,0.7,NA,NA,NA
Togo Palazzi,79.7,2,1.7,1.6,0.8,0.6,-0.2,NA
George Lee,79.1,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Ronald Thomas,77.8,2.7,2,1.8,0.8,NA,NA,NA
Kevin Séraphin,77.7,2.3,1.7,1,0.8,0.2,0.1,-0.2
Bruce Seals,77.6,2.9,2.4,1.6,0.6,0.3,NA,NA
Terry Driscoll,77.3,1.7,1.7,1.5,0.3,0,NA,NA
